cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,inst.webaddr,lnreres,LNRERSFM,LNRERSF2,lnreloc,LNRERSF1
"4829","0","746223","2706726","1880 Bank","Cambridge","MD","21613","12/31/2014","2/18/2015","SM","304 High Street","DELMARVA BANCSHARES, INC.","3","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","10/31/2014","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","www.1880bank.com","39590","36165","312","3113","1432"
"33785","15377","2713920","3063622","1919 INVESTMENT COUNSEL & TRUST COMPANY, NATIONAL ASSOCIATION","Baltimore","MD","21202","12/31/2014","2/18/2015","N","100 Light Street","STIFEL FINANCIAL CORP.","1","0","0","7","0","Baltimore City","12580","Baltimore-Columbia-Towson, MD","2/16/1993","9/29/1999","10/8/2014","Stock","0","1","OCC","DIF","New York","KANSAS CITY","Baltimore","Richmond","Northeastern","Southeast","http://www.1919ic.com","0","0","0","0","0"
"57899","0","3317192","4526496","1st Advantage Bank","Saint Peters","MO","63376","12/31/2014","2/18/2015","NM","240 Salt Lick Road","BANC INVESTORS, LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","http://www.1stadvantagebank.com","8341","6948","54","1339","95"
"22039","0","564856","1128415","1st Bank","Sidney","MT","59270","12/31/2014","2/18/2015","SM","120 Second Street, N.W.","1ST UNITED BANCORPORATION, INC.","2","0","0","2","1","Richland","","","6/9/1975","6/9/1975","6/22/2007","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","www.our1stbank.com","667","667","0","0","150"
"16419","17301","419255","1055780","1st Bank & Trust","Broken Bow","OK","74728","12/31/2014","2/18/2015","SM","710 South Park Drive","SOUTHEASTERN BANCSHARES, INC.","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","http://www/1stbankandtrust.com","22878","22167","486","225","20898"
"30367","5236","148470","0","1st Bank of Sea Isle City","Sea Isle City","NJ","8243","12/31/2014","2/18/2015","SB","4301 Landis Avenue","","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","www.1stbankseaisle.com","131308","108341","104","22863","18687"
"57298","0","3048487","3559844","1st Bank Yuma","Yuma","AZ","85364","12/31/2014","2/18/2015","NM","2799 South 4th Avenue","WESTERN ARIZONA BANCORP, INC.","4","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","2/21/2012","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","http://www.1stbankyuma.com","13604","9300","445","3859","0"
"3881","0","273149","1135413","1st Bank, National Association.","Texarkana","TX","75503","12/31/2014","2/18/2015","N","3625 Richmond Road","MAGNOLIA BANKING CORPORATION","8","0","1","4","1","Bowie","45500","Texarkana, TX-AR","1/1/1909","1/1/1934","2/20/2013","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","WWW.first-banking.com","60672","58985","1687","0","69"
"32487","8322","941653","1064791","1st Cameron State Bank","Cameron","MO","64429","12/31/2014","2/18/2015","NM","124 South Walnut","C & M BANCSHARES, INC.","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","www.1stcameron.com","20685","19895","544","246","14420"
"58485","0","3594797","0","1st Capital Bank","Monterey","CA","93940","12/31/2014","2/18/2015","NM","5 Harris Court, Bldg N, # No","","4","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","7/26/2013","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","www.1stcapitalbank.com","105469","95238","1904","8327","95238"
"57657","0","3247598","3602236","1st Century Bank,  National Association","Los Angeles","CA","90067","12/31/2014","2/18/2015","N","1875 Century Park East, # 14","1ST CENTURY BANCSHARES, INC.","1","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","3/1/2004","3/1/2004","3/31/2006","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (West)","San Francisco","Western","Western","www.1cbank.com","141138","100268","8808","32062","70840"
"35456","0","2920773","3118513","1st Colonial Community Bank","Collingswood","NJ","8108","12/31/2014","2/18/2015","NM","1040 Haddon Avenue","1ST COLONIAL BANCORP, INC.","4","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","http://www.1stcolonial.com","138842","89683","20820","28339","23524"
"11706","12404","338945","1204083","1st Community Bank","Sherrard","IL","61281","12/31/2014","2/18/2015","NM","407 Third Street","ILLINOIS HOLDING CO.","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","http://www.1stcommunitybanks.com","14810","14458","352","0","0"
"27552","10064","1412619","2784920","1st Constitution Bank","Cranbury","NJ","8512","12/31/2014","2/18/2015","NM","2650 Route 130","1ST CONSTITUTION BANCORP","19","0","0","4","0","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","7/24/1989","7/24/1989","2/8/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","www.1stconstitution.com","83769","55762","3793","24214","34883"
"34393","0","2531562","2531553","1st Equity Bank","Skokie","IL","60076","12/31/2014","2/18/2015","NM","3956 West Dempster Street","FIRST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","","19430","17678","1089","663","0"
"57611","0","3203996","3203987","1st Equity Bank Northwest","Buffalo Grove","IL","60089","12/31/2014","2/18/2015","NM","1330 Dundee Road","NORTHWEST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","10/15/2003","10/15/2003","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","","10715","9861","76","778","0"
"1673","0","526452","0","1st Financial Bank USA","Dakota Dunes","SD","57049","12/31/2014","2/18/2015","NM","331 N. Dakota Dunes Blvd.","","2","0","0","3","0","Union","43580","Sioux City, IA-NE-SD","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","http://www.1fbusa.com","209","209","0","0","0"
"58548","0","3655081","0","1st Manatee Bank","Parrish","FL","34219","12/31/2014","2/18/2015","NM","12215 Us Highway 301 N","","3","0","0","4","0","Manatee","35840","North Port-Sarasota-Bradenton, FL","11/13/2007","11/13/2007","1/25/2010","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","WWW.1STMANATEE.COM","19019","18609","365","45","18264"
"6646","8805","480723","0","1st National Bank","Lebanon","OH","45036","12/31/2014","2/18/2015","N","730 East Main Street","","10","0","0","4","1","Warren","17140","Cincinnati, OH-KY-IN","1/1/1907","1/1/1934","11/1/2012","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","WWW.BANKWITH1ST.COM","49159","35888","3293","9978","3994"
"3564","11706","737632","3437782","1st National Bank of South Florida","Homestead","FL","33030","12/31/2014","2/18/2015","N","1550 North Krome Avenue","HOMETOWN OF HOMESTEAD BANKING COMPANY","6","0","0","4","0","Miami-Dade","33100","Miami-Fort Lauderdale-West Palm Beach, FL","10/24/1932","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","http://www.1stnatbank.com","74926","66426","325","8175","12861"
"26977","10790","1000511","2421896","1st National Community Bank","East Liverpool","OH","43920","12/31/2014","2/18/2015","N","16924 St. Clair Avenue","TRI-STATE 1ST BANC, INC.","5","0","1","4","0","Columbiana","","","6/1/1987","6/1/1987","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","www.1stncb.com","21957","18263","642","3052","6920"
"57633","0","1018927","4347208","1st Security Bank of Washington","Mountlake Terrac","WA","98043","12/31/2014","2/18/2015","SB","6920 220th St Sw, Suite 300","FS BANCORP, INC.","8","0","0","4","0","Snohomish","42660","Seattle-Tacoma-Bellevue, WA","4/1/2004","4/1/2004","3/31/2006","Non-Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","WWW.FSBWA.COM","97025","73077","3007","20941","39299"
"9087","10250","991340","1199602","1st Source Bank","South Bend","IN","46601","12/31/2014","2/18/2015","SM","100 North Michigan Street","1ST SOURCE CORPORATION","82","0","1","4","0","St Joseph","43780","South Bend-Mishawaka, IN-MI","1/1/1922","1/1/1934","6/7/2008","Stock","0","1","FED","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","www.1stsource.com","557325","348572","37592","171161","32739"
"57626","0","3223305","3223293","1st State Bank","Saginaw","MI","48604","12/31/2014","2/18/2015","NM","4800 Fashion Sq Blvd, # 100","VALLEY FINANCIAL GROUP, LTD.","4","0","0","4","0","Saginaw","40980","Saginaw, MI","4/12/2004","4/12/2004","8/19/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","www.1ststatebk.com","23827","14664","2183","6980","10626"
"22543","14261","170640","3070152","1st State Bank of Mason City","Mason City","IL","62664","12/31/2014","2/18/2015","NM","123 West Elm Street","FIRSTATE BANCORP, INC.","1","0","0","2","1","Mason","","","11/1/1977","11/1/1977","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","www.1ststatebankmc.com","4636","4553","83","0","201"
"8426","10595","526519","1830240","1st Summit Bank","Johnstown","PA","15904","12/31/2014","2/18/2015","NM","125 Donald Lane","1ST SUMMIT BANCORP OF JOHNSTOWN, INC.","15","0","0","5","0","Cambria","27780","Johnstown, PA","1/1/1924","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","http://www.1stsummit.com","214520","193573","5292","15655","11007"
"57869","0","3309393","0","1st Trust Bank, Inc.","Hazard","KY","41701","12/31/2014","2/18/2015","NM","24 Commerce Drive","","3","0","0","4","0","Perry","","","12/13/2004","12/13/2004","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","http://www.1sttrustbankinc.com","19997","19722","0","275","447"
"31249","6607","350572","3800630","1st United Bank","Faribault","MN","55021","12/31/2014","2/18/2015","NM","430 4th St Nw","FARIBAULT FSL BANCORPORATION, INC.","2","0","0","4","1","Rice","","","1/1/1920","12/18/1961","2/13/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","WWW.1STUNITED.COM","21450","10934","3990","6526","705"
"9751","0","340256","3304343","21st Century Bank","Loretto","MN","55357","12/31/2014","2/18/2015","NM","699 North Medina Street","DOLPHIN FAMILY LIMITED PARTNERSHIP","7","0","0","4","0","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","6/2/1917","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","http://www.21stcenturybank.com","32338","27398","2496","2444","19701"
"91005","0","455253","3688089","5Star Bank","Colorado Springs","CO","80914","12/31/2014","2/18/2015","NM","Peterson Air Force Base, 455","5STAR FINANCIAL, LLC","4","0","0","4","0","El Paso","17820","Colorado Springs, CO","6/10/1980","11/5/1985","8/23/2013","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","http://www.5starbankus.com","11112","10231","140","741","2922"
"27831","358","671370","0","A J Smith Federal Savings Bank","Midlothian","IL","60445","12/31/2014","2/18/2015","SA","14757 S Cicero Ave","","3","0","0","5","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","1/1/1924","12/3/1934","7/21/2011","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","www.ajsmithbank.com","105384","94874","2371","8139","6395"
"35029","0","2775151","2775142","AB&T National Bank","Albany","GA","31708","12/31/2014","2/18/2015","N","2815 Meredyth Drive","COMMUNITY CAPITAL BANCSHARES, INC.","4","0","0","4","0","Dougherty","10500","Albany, GA","4/28/1999","4/28/1999","1/1/2014","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","www.abtgold.com","31425","21261","728","9436","2296"
"32257","8059","762773","0","Abacus Federal Savings Bank","New York","NY","10013","12/31/2014","2/18/2015","SA","6 Bowery","","6","0","1","4","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","11/29/1984","11/29/1984","2/23/2012","Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","www.abacusbank.com","70049","62381","1694","5974","14401"
"30332","5179","114774","0","Abbeville Building & Loan (A State-Chartered Savings Bank)","Abbeville","LA","70510","12/31/2014","2/18/2015","SB","1212 Charity Street","","1","0","0","4","0","Vermilion","29180","Lafayette, LA","1/1/1890","8/9/1948","3/31/2006","Non-Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","www.abbemae.com","30263","28576","1081","606","432"
"30619","5642","416272","0","Abbeville First Bank, SSB","Abbeville","SC","29620","12/31/2014","2/18/2015","SB","205 South Main St","","1","0","0","5","0","Abbeville","","","1/1/1907","5/11/1953","10/17/2013","Non-Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","http://www.abbevillefirst.com","29952","28682","380","890","8968"
"19795","16035","198149","3612794","AbbyBank","Abbotsford","WI","54405","12/31/2014","2/18/2015","NM","401 Spruce Streets","ABBY BANCORP, INC.","4","0","0","2","0","Marathon","48140","Wausau, WI","3/1/1968","3/1/1968","1/14/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Chicago","Central","Central","www.abbybank.com","58154","47258","4476","6420","1158"
"11694","11442","4839","1143641","ABC Bank","Chicago","IL","60644","12/31/2014","2/18/2015","NM","5645 West Lake Street","GREATER CHICAGO FINANCIAL CORP.","5","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/10/1891","1/1/1934","6/1/2012","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","WWW.ABCBANK.NET","40936","34064","2258","4614","3874"
"26549","0","117672","0","Abington Bank","Abington","MA","2351","12/31/2014","2/18/2015","SM","6 Harrison Avenue","","1","0","0","4","0","Plymouth","14460","Boston-Cambridge-Newton, MA-NH","1/1/1888","2/12/1986","10/21/2008","Non-Stock","0","0","FED","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","www.theabingtonbank.com","57716","53887","856","2973","27530"
"19600","0","535753","2107707","Academy Bank, National Association","Colorado Springs","CO","80920","12/31/2014","2/18/2015","N","2835 Briargate Boulevard","DICKINSON FINANCIAL CORPORATION II","54","0","0","4","0","El Paso","17820","Colorado Springs, CO","6/15/1966","6/15/1966","3/28/2008","Stock","0","0","OCC","DIF","Dallas","KANSAS CITY","Denver","Kansas City","Western","Western","www.academybankco.com","25861","17768","128","7965","8835"
"4061","13760","266253","1055708","ACB Bank","Cherokee","OK","73728","12/31/2014","2/18/2015","NM","323 S Grand Street","ALFALFA COUNTY BANCSHARES, INC.","3","0","0","2","1","Alfalfa","","","1/29/1908","1/1/1934","9/22/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","www.acbbank.net","8952","8952","0","0","774"
"58727","0","3614837","3637939","Access Bank","Omaha","NE","68114","12/31/2014","2/18/2015","NM","8712 West Dodge Road","3MV BANCORP, INC.","4","0","0","4","0","Douglas","36540","Omaha-Council Bluffs, NE-IA","12/10/2007","12/10/2007","12/17/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","West","WWW.ACCESSBANK.COM","24566","18530","1089","4947","1147"
"35189","0","2859903","3109904","Access National Bank","Reston","VA","20191","12/31/2014","2/18/2015","N","1800 Robert Fulton Drive, #","ACCESS NATIONAL CORPORATION","5","0","0","4","0","Fairfax","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","12/1/1999","12/1/1999","3/31/2006","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","www.accessnationalbank.com","239575","188577","15988","35010","103234"
"58562","0","3535848","4556381","AccessBank Texas","Denton","TX","76201","12/31/2014","2/18/2015","NM","320 W Eagle Drive, # 100","ACCESS BANCORP, INC.","1","0","0","4","0","Denton","19100","Dallas-Fort Worth-Arlington, TX","10/22/2007","10/22/2007","11/1/2013","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","http://WWW.ACCESSBANKTX.COM","17531","17179","352","0","2700"
"14936","11454","730446","1205950","Ackley State Bank","Ackley","IA","50601","12/31/2014","2/18/2015","SM","650 Main Street","GNB BANCORPORATION","6","0","0","2","1","Hardin","","","1/1/1934","12/18/1934","11/3/2011","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","http://www.ackleystatebank.com","15349","12029","1051","2269","2313"
"7506","12499","5210","1117464","ACNB Bank","Gettysburg","PA","17325","12/31/2014","2/18/2015","NM","16 Lincoln Square","ACNB CORPORATION","20","0","0","4","0","Adams","23900","Gettysburg, PA","4/11/1857","1/1/1934","2/7/2011","Stock","0","1","FDIC","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","http://www.acnb.com","414036","326426","31637","55973","94656"
"18489","12279","463650","1055623","Adams Bank & Trust","Ogallala","NE","69153","12/31/2014","2/18/2015","SM","315 North Spruce Street","ADBANC, INC.","18","0","1","2","0","Keith","","","2/26/1962","2/26/1962","3/31/2006","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","http://www.abtbank.com","76189","68746","4075","3368","444"
"90140","12033","343903","0","Adams Community Bank","Adams","MA","1220","12/31/2014","2/18/2015","SB","2 Center Street","","7","0","0","5","0","Berkshire","38340","Pittsfield, MA","5/1/1869","7/24/1985","2/25/2012","Non-Stock","0","1","FDIC","DIF","New York","NEW YORK","Springfield Ma","Boston","Northeastern","Northeast","www.adamscommunity.com","276210","246544","4335","25331","81112"
"14311","0","9553","1053870","Adams County Bank","Kenesaw","NE","68956","12/31/2014","2/18/2015","NM","401 N. Smith Avenue","FIRST KENESAW COMPANY","2","0","0","2","1","Adams","","","1/1/1878","1/1/1934","6/1/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","http://www.adamscountybank.net","8165","7332","752","81","237"
"32304","8120","312570","0","Adams County Building and Loan Company","West Union","OH","45693","12/31/2014","2/18/2015","SA","201 West Main Street","","2","0","0","8","0","Adams","","","1/22/1907","4/4/1985","1/4/2012","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","","9128","9128","0","0","0"
"58697","18056","3603765","4564724","Adams Dairy Bank","Blue Springs","MO","64014","12/31/2014","2/18/2015","NM","651 Ne Coronado Drive","ADAMS DAIRY BANCSHARES, INC.","1","0","0","4","0","Jackson","28140","Kansas City, MO-KS","1/3/2008","1/3/2008","3/3/2014","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","www.AdamsDairyBank.com","29367","27040","15","2312","17608"
"9812","0","332756","0","Adams State Bank","Adams","NE","68301","12/31/2014","2/18/2015","NM","649 Main Street","","1","0","0","2","1","Gage","","","1/18/1918","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","West","www.adamsstate.com","7139","7139","0","0","0"
"28380","1473","101671","2467474","Adirondack Bank","Utica","NY","13501","12/31/2014","2/18/2015","SM","185 Genesee Street","ADIRONDACK BANCORP, INC.","19","0","0","4","0","Oneida","46540","Utica-Rome, NY","1/1/1898","1/25/1936","3/31/2006","Stock","0","0","FED","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","www.adirondackbank.com","193489","134303","11388","47798","44218"
"27015","13964","541307","0","Admirals Bank","Boston","MA","2116","12/31/2014","2/18/2015","SA","579 Boylston Street","","3","0","1","4","0","Suffolk","14460","Boston-Cambridge-Newton, MA-NH","1/1/1967","7/20/1987","6/28/2013","Stock","0","0","OCC","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","www.admiralsbank.com","193906","16841","173624","3441","5107"
"8251","0","94858","1399505","Adrian Bank","Adrian","MO","64720","12/31/2014","2/18/2015","SM","130 East Main Street","ADRIAN BANCSHARES, INC.","3","0","0","2","1","Bates","28140","Kansas City, MO-KS","10/18/1932","1/1/1934","3/31/2006","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","www.adrianbank.com","14631","14548","83","0","3447"
"8822","0","293352","1125254","Adrian State Bank","Adrian","MN","56110","12/31/2014","2/18/2015","NM","322 Maine Avenue","ADRIAN BUILDING CORPORATION","1","0","0","2","1","Nobles","","","10/23/1889","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Central","West","www.adrianstatebank.com","1400","1400","0","0","0"
"18152","15877","438050","1066928","Advantage Bank","Oklahoma City","OK","73141","12/31/2014","2/18/2015","NM","8001 Ne 23rd Street","SPENCER BANCSHARES, INC.","2","0","0","4","1","Oklahoma","36420","Oklahoma City, OK","11/17/1913","2/15/1960","11/10/2011","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","http://www.advantagebank.biz","10833","10278","555","0","8267"
"57072","0","2927615","2926270","Advantage Bank","Loveland","CO","80537","12/31/2014","2/18/2015","NM","1475 North Denver Avenue","ADVANTAGE BANCORP, INC.","4","0","0","4","0","Larimer","22660","Fort Collins, CO","9/21/2000","9/21/2000","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","http://www.advantagebanks.com","40890","38533","849","1508","2111"
"10375","14584","189549","3155273","Advantage Community Bank","Dorchester","WI","54425","12/31/2014","2/18/2015","NM","101 West Center Street","ADVANTAGE COMMUNITY BANCSHARES, INC.","4","0","0","4","0","Clark","","","8/9/1906","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Chicago","Central","Central","www.advantagecommunity.com","27606","20099","2774","4733","0"
"34885","14544","965789","0","Affiliated Bank","Bedford","TX","76021","12/31/2014","2/18/2015","SA","500 Harwood Rd.","","3","0","0","4","0","Tarrant","19100","Dallas-Fort Worth-Arlington, TX","1/1/1959","6/1/1998","7/21/2011","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","www.affiliatedbank.com","160428","157653","1385","1390","111676"
"57264","0","3118447","3118456","Affinity Bank","Atlanta","GA","30328","12/31/2014","2/18/2015","NM","5660 New Northside Drive, #","ABB FINANCIAL GROUP, INC.","1","0","0","4","0","Fulton","12060","Atlanta-Sandy Springs-Roswell, GA","9/3/2002","9/3/2002","9/28/2010","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","http://www.myaffinitybank.com","3696","3621","75","0","818"
"35267","14939","2909330","0","AIG Federal Savings Bank","Wilmington","DE","19809","12/31/2014","2/18/2015","SA","503 Carr Road, Suite 130","","1","0","0","5","0","New Castle","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","5/15/2000","5/15/2000","12/15/2014","Stock","0","1","OCC","DIF","New York","NEW YORK","Claymont","Philadelphia","Northeastern","Northeast","","0","0","0","0","0"
"3304","0","1006951","3183959","AIMBank","Littlefield","TX","79339","12/31/2014","2/18/2015","NM","337 Phelps Avenue","AIM BANCSHARES, INC.","12","0","0","4","1","Lamb","","","9/19/1925","1/1/1934","3/21/2014","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","http://www.aimbankonline.com","69632","67199","2250","183","10454"
"35314","0","2877484","3047583","Alamerica Bank","Birmingham","AL","35205","12/31/2014","2/18/2015","NM","2170 Highland Avenue","ALAMERICA BANCCORP, INC.","1","0","0","4","1","Jefferson","13820","Birmingham-Hoover, AL","1/28/2000","1/28/2000","2/24/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","","2464","1629","351","484","0"
"13947","0","869953","1061222","Alamosa State Bank","Alamosa","CO","81101","12/31/2014","2/18/2015","NM","2225 Main Street","ALAMOSA BANCORPORATION, LTD.","2","0","0","8","1","Alamosa","","","3/1/1907","2/23/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","http://www.alamosastatebank.com","23072","22562","53","457","4214"
"17230","0","2732","1208933","Albany Bank and Trust Company National Association","Chicago","IL","60625","12/31/2014","2/18/2015","N","3424 West Lawrence Avenue","ALBANK CORPORATION","4","0","0","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/27/1953","6/27/1953","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","www.albanybank.com","26666","19338","888","6440","10578"
"34106","14711","2332666","3842630","Albina Community Bank","Portland","OR","97212","12/31/2014","2/18/2015","NM","2002 N.E Martin Luther King","BENEFICIAL STATE BANCORP, INC.","5","0","0","4","0","Multnomah","38900","Portland-Vancouver-Hillsboro, OR-WA","12/19/1995","12/19/1995","10/23/2013","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Portland","San Francisco","Western","West","http://www.albinabank.com","10071","4163","231","5677","817"
"9831","0","414102","0","Alden State Bank","Alden","NY","14004","12/31/2014","2/18/2015","SM","13216 Broadway","","2","0","0","5","0","Erie","15380","Buffalo-Cheektowaga-Niagara Falls, NY","10/5/1916","1/1/1934","3/31/2006","Stock","0","0","FED","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","WWW.ALDENSTATE.COM","131591","91177","40414","0","0"
"17622","12071","388744","0","Alden State Bank","Alden","MI","49612","12/31/2014","2/18/2015","NM","Coy And Helena Streets","","4","0","0","4","0","Antrim","","","1/1/1934","6/22/1956","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Grand Rapids","Chicago","Central","Central","http://www.aldenbank.com","55672","47095","2732","5845","1446"
